# CROND, RSYSLOGD, SESSION, SSHD, SU
6.915441949976942615e-01,2.983456822455974322e+00,6.961019935163671457e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
5.101443708754525019e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-8.759932357278122916e-01
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,-7.309940202185450930e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-8.759932357278122916e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-5.859948047092778944e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.960639254462192227e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
1.961342963853386356e+00,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.960639254462192227e-01,-1.020992451237079601e+00
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
3.287445467532107424e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-8.759932357278122916e-01
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,-7.309940202185450930e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-5.859948047092778944e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
1.961342963853386356e+00,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,-1.020992451237079601e+00
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
3.287445467532107424e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-8.759932357278122916e-01
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,-7.309940202185450930e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.949871195508528166e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
1.961342963853386356e+00,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.896030900740204528e-01,-1.020992451237079601e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,-5.859948047092778944e-01
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.982175372369521460e-01,-1.020992451237079601e+00
3.287445467532107424e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.874494782832875295e-01,-1.020992451237079601e+00
1.473447226309690383e-01,-2.233244399553130921e-01,1.816121713445763897e+00,-6.079087902952502454e-01,-5.997942672209123464e-03
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,1.008996565892661179e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.971407313415857399e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.960639254462192227e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.971407313415857399e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.153995781401928378e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
1.961342963853386356e+00,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-3.405510149127267266e-02,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
3.287445467532107424e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.982175372369521460e-01,7.189981348741268929e-01
1.473447226309690383e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.949871195508528166e-01,8.639973503833940915e-01
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,1.008996565892661179e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.153995781401928378e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.153995781401928378e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,1.008996565892661179e+00
1.961342963853386356e+00,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
8.729440191199359100e-01,4.586847453661617280e+00,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
3.287445467532107424e-01,-2.233244399553130921e-01,6.961019935163671457e-01,-5.982175372369521460e-01,8.639973503833940915e-01
1.473447226309690383e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,8.639973503833940915e-01
-3.405510149127267266e-02,-2.233244399553130921e-01,8.205486290640778835e-01,-5.982175372369521460e-01,1.008996565892661179e+00
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
-2.154549256135143975e-01,-2.233244399553130921e-01,5.716553579686564079e-01,-5.982175372369521460e-01,7.189981348741268929e-01
